country,dates,genres,score,title,url,votes
United States,2022..,"[""Comedy"", ""Drama""]",8.4,The Bear,https://imdb.com/title/tt14452776/,78602
United States,2019..2022,"[""Adventure"", ""Drama"", ""Family""]",7.8,His Dark Materials,https://imdb.com/title/tt5607976/,75915
United States,2022..,"[""Drama"", ""Thriller""]",7.9,Slow Horses,https://imdb.com/title/tt5875444/,36027
United States,2005..,"[""Comedy""]",8.8,It's Always Sunny in Philadelphia,https://imdb.com/title/tt0472954/,229305
United States,2014..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.9,True Detective,https://imdb.com/title/tt2356777/,578820
United States,2011..2017,"[""Action"", ""Drama"", ""Fantasy""]",7.7,Teen Wolf,https://imdb.com/title/tt1567432/,151794
United States,2009..2020,"[""Comedy"", ""Drama"", ""Romance""]",8.5,Modern Family,https://imdb.com/title/tt1442437/,437505
United States,2022..,"[""Action"", ""Adventure"", ""Crime""]",7.5,The Recruit,https://imdb.com/title/tt16030542/,28316
United States,2021..,"[""Comedy""]",8.2,Abbott Elementary,https://imdb.com/title/tt14218830/,20342
United States,2018..,"[""Crime"", ""Drama"", ""Romance""]",7.7,You,https://imdb.com/title/tt7335184/,249690
United States,2013..2023,"[""Crime"", ""Drama"", ""Mystery""]",8.0,The Blacklist,https://imdb.com/title/tt2741602/,253130
United States,2021..,"[""Animation"", ""Action"", ""Adventure""]",7.8,Star Wars: The Bad Batch,https://imdb.com/title/tt12708542/,37854
United States,2005..,"[""Adventure"", ""Drama"", ""Sci-Fi""]",8.6,Doctor Who,https://imdb.com/title/tt0436992/,228242
United States,2011..,"[""Drama"", ""Horror"", ""Sci-Fi""]",8.0,American Horror Story,https://imdb.com/title/tt1844624/,323063
United States,2011..2019,"[""Comedy"", ""Drama""]",8.5,Suits,https://imdb.com/title/tt1632701/,416246
United States,2017..,"[""Comedy""]",7.6,Young Sheldon,https://imdb.com/title/tt6226232/,65681
United States,2021..,"[""Comedy""]",7.8,The Sex Lives of College Girls,https://imdb.com/title/tt11212276/,22863
United States,2021..,"[""Comedy"", ""Crime"", ""Drama""]",8.1,Only Murders in the Building,https://imdb.com/title/tt12851524/,107222
United States,2019..,"[""Drama""]",8.4,Euphoria,https://imdb.com/title/tt8772296/,192629
United States,2005..2017,"[""Comedy"", ""Crime"", ""Drama""]",7.8,Bones,https://imdb.com/title/tt0460627/,162688
United States,2020..,"[""Crime"", ""Drama"", ""Mystery""]",6.8,Big Sky,https://imdb.com/title/tt11794642/,22279
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",6.9,The Lord of the Rings: The Rings of Power,https://imdb.com/title/tt7631058/,317672
