country,dates,genres,score,title,url,votes,critic_count,description,popularity
United States,2021..,"[""Action"", ""Adventure"", ""Fantasy""]",8.2,Loki,https://www.imdb.com/title/tt9140554/,323841,56,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,307
United States,2011..,"[""Drama"", ""Horror"", ""Sci"", ""Fi""]",8.0,American Horror Story,https://www.imdb.com/title/tt1844624/,323063,212,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert... Read all",81
United States,2013..2021,"[""Comedy"", ""Crime""]",8.4,Brooklyn Nine-Nine,https://www.imdb.com/title/tt2467372/,322889,42,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",143
United States,2017..2022,"[""Crime"", ""Drama"", ""Thriller""]",8.5,Ozark,https://www.imdb.com/title/tt5071412/,320420,142,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",129
United States,2003..2019,"[""Comedy""]",8.7,Arrested Development,https://www.imdb.com/title/tt0367279/,308015,61,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",229
United States,2013..2019,"[""Comedy"", ""Crime"", ""Drama""]",8.1,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,305582,109,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",203
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",8.5,House of the Dragon,https://www.imdb.com/title/tt11198330/,304214,62,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",34
United States,2017..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.6,Mindhunter,https://www.imdb.com/title/tt5290382/,295078,114,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",180
United Kingdom (Great Britain),2019..,"[""Comedy"", ""Drama""]",8.3,Sex Education,https://www.imdb.com/title/tt7767422/,288360,83,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,166
United States,2022..,"[""Comedy"", ""Crime"", ""Fantasy""]",8.2,Wednesday,https://www.imdb.com/title/tt13443470/,259982,84,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.",6
